词	读音	含义	级别	词性	出现次数
発見	はっけん	发现	N3	noun	1
発行	はっこう	发行	N3	noun	1
場面	ばめん	场面	N3	noun	1
販売	はんばい	销售	N3	noun	1
比較	ひかく	比较	N3	noun	1
日付	ひづけ	日期	N3	noun	1
人込み	ひとごみ	人入	N3	noun	1
冷やす	ひやす	冷却；使冷静	N3	noun	1
表情	ひょうじょう	表情	N3	noun	1
深まる	ふかまる	加深	N3	noun	1
拭く	ふく	擦拭	N3	noun	1
服装	ふくそう	服装	N3	noun	1
プラン	プラン	计划	N3	noun	1
触れる	ふれる	触摸	N3	noun	1
ベルト	ベルト	腰带	N3	noun	1
ベンチ	ベンチ	长椅	N3	noun	1
方向	ほうこう	方向	N3	noun	1
マイク	マイク	麦克风	N3	noun	1
間違い	まちがい	错误	N3	noun	1
真っ赤	まっか	通红；纯粹的谎言	N3	noun	1
全く	まったく	完全；简直	N3	noun	1
自己	じこ	自己	N3	noun	1
仕様	しよう	规格；方式	N3	noun	1
進行	しんこう	进行	N3	noun	1
振興	しんこう	振兴	N3	noun	1
申告	しんこく	申报	N3	noun	1
慣らす	ならす	使习惯	N3	noun	1
捲る	めくる	翻；掀	N3	noun	1
ラベル	ラベル	标签	N3	noun	1
表示	ひょうじ	显示；表示	N3	noun	1
圧縮	あっしゅく	压缩	N2	noun	1
一定	いってい	一定；固定	N2	noun	1
浮く	うく	漂浮	N2	noun	1
押さえる	おさえる	按住；压住；抓住	N2	noun	1
伯父	おじ	伯父	N2	noun	1
伯母	おば	伯母	N2	noun	1
恩恵	おんけい	恩惠	N2	noun	1
外部	がいぶ	外部	N2	noun	1
拡充	かくじゅう	扩充	N2	noun	1
箇所	かしょ	处；地方	N2	noun	1
仮名	かな	假名	N2	noun	1
カバー	カバー	封面；覆盖	N2	noun	1
換気	かんき	換气	N2	noun	1
乾杯	かんぱい	干杯	N2	noun	1
着替え	きがえ	换衣服；替换的衣服	N2	noun	1
着替える	きがえる	换衣服	N2	noun	1
切っ掛け	きっかけ	契机；起因	N2	noun	1
客席	きゃくせき	观众席	N2	noun	1
キャンパス	キャンパス	校园	N2	noun	1
休業	きゅうぎょう	停业	N2	noun	1
行列	ぎょうれつ	行列	N2	noun	1
区切る	くぎる	分隔；断句	N2	noun	1
崩す	くずす	破坏	N2	noun	1
配る	くばる	分发；分配	N2	noun	1
継続	けいぞく	继续	N2	noun	1
気配	けはい	气息；迹象	N2	noun	1
コース	コース	课程	N2	noun	1
交差	こうさ	交叉	N2	noun	1
合理	ごうり	合理	N2	noun	1
交流	こうりゅう	交流	N2	noun	1
合流	ごうりゅう	合流	N2	noun	1
作成	さくせい	制作；编写	N2	noun	1
流石	さすが	不愧是	N2	noun	1
姿勢	しせい	姿势；态度	N2	noun	1
下書き	したがき	草稿	N2	noun	1
自宅	じたく	自家	N2	noun	1
縛る	しばる	捆绑	N2	noun	1
締切	しめきり	截止日期	N2	noun	1
終了	しゅうりょう	终了	N2	noun	1
消耗	しょうもう	消耗	N2	noun	1
ショップ	ショップ	商店	N2	noun	1
書店	しょてん	书店	N2	noun	1
信ずる	しんずる	相信	N2	noun	1
水分	すいぶん	水分	N2	noun	1
水曜	すいよう	水曜	N2	noun	1
スライド	スライド	幻灯片	N2	noun	1
成分	せいぶん	成分	N2	noun	1
全力	ぜんりょく	全力	N2	noun	1
測定	そくてい	测定	N2	noun	1
率直	そっちょく	率直；坦率	N2	noun	1
力強い	ちからづよい	有力的；坚强的	N2	noun	1
縮む	ちぢむ	缩小	N2	noun	1
通帳	つうちょう	通账	N2	noun	1
通用	つうよう	通用	N2	noun	1
通路	つうろ	通道	N2	noun	1
繋がり	つながり	联系	N2	noun	1
詰まる	つまる	堵塞；塞满	N2	noun	1
出来上がる	できあがる	完成	N2	noun	1
手首	てくび	手腕	N2	noun	1
手帳	てちょう	手账	N2	noun	1
登場	とうじょう	登场	N2	noun	1
通り掛かる	とおりかかる	路过；碰巧经过	N2	noun	1
長引く	ながびく	拖延；拖长	N2	noun	1
ナンバー	ナンバー	数字	N2	noun	1
俳句	はいく	俳句（日本短诗）	N2	noun	1
発想	はっそう	发想	N2	noun	1
早口	はやくち	说话快	N2	noun	1
バンド	バンド	乐队	N2	noun	1
日当たり	ひあたり	朝阳处；采光	N2	noun	1
引き出す	ひきだす	拉出；提取（存款）	N2	noun	1
一通り	ひととおり	一般的	N2	noun	1
標準	ひょうじゅん	标准	N2	noun	1
ピンク	ピンク	粉色	N2	noun	1
船便	ふなびん	海运；船运	N2	noun	1
部品	ぶひん	零件；配件	N2	noun	1
ブラシ	ブラシ	刷子	N2	noun	1
古里	ふるさと	故乡	N2	noun	1
防犯	ぼうはん	防盗；防范犯罪	N2	noun	1
本来	ほんらい	本来	N2	noun	1
待ち合わせる	まちあわせる	约好见面	N2	noun	1
マンション	マンション	公寓楼	N2	noun	1
恵まれる	めぐまれる	得天独厚	N2	noun	1
メニュー	メニュー	菜单	N2	noun	1
目次	もくじ	目录	N2	noun	1
夜間	やかん	夜间	N2	noun	1
用途	ようと	用途	N2	noun	1
リズム	リズム	节奏	N2	noun	1
冷凍	れいとう	冷冻	N2	noun	1
レンズ	レンズ	镜头	N2	noun	1
ロッカー	ロッカー	储物柜	N2	noun	1
ロビー	ロビー	大厅	N2	noun	1
割と	わりと	比较	N2	noun	1
帰る	かえる	回去	?	verb	1
習う	ならう	学	?	verb	1
閉める	しめる	关闭	?	verb	1
もらう	もらう	收到	?	verb	1
あげる	あげる	给	?	verb	1
返す	かえす	归还	?	verb	1
見つかる	みつかる	被找到	?	verb	1
壊れる	こわれる	坏了	?	verb	1
上げる	あげる	提高	?	verb	1
下げる	さげる	降低	?	verb	1
集める	あつめる	收集	?	verb	1
泣く	なく	哭	?	verb	1
怒る	おこる	生气	?	verb	1
悩む	なやむ	烦恼	?	verb	1
慣れる	なれる	习惯	?	verb	1
助ける	たすける	帮助/救	?	verb	1
片付ける	かたづける	收拾	?	verb	1
転ぶ	ころぶ	摔倒	?	verb	1
拾う	ひろう	捡	?	verb	1
預ける	あずける	寄存	?	verb	1
届ける	とどける	送达/上报	?	verb	1
通る	とおる	通过/经过	?	verb	1
渡る	わたる	过（桥/路）	?	verb	1
つながる	つながる	连接	?	verb	1
間に合う	まにあう	来得及	?	verb	1
感じる	かんじる	感觉	?	verb	1
似合う	にあう	适合	?	verb	1
治る	なおる	痊愈	?	verb	1
生きる	いきる	活	?	verb	1
育てる	そだてる	养育	?	verb	1
慣れる	なれる	习惯	?	verb	1
暮らす	くらす	生活	?	verb	1
振り返る	ふりかえる	回顾	?	verb	1
受け入れる	うけいれる	接受	?	verb	1
